FOODID;FOODNAME;LANG
857;Fisk, rökt, medelvärde, fet;SV
858;Ägg, utan skal;SV
859;Sill i vitlöks-/senapssås;SV
860;Strömming i dillsås/senapssås;SV
862;Tonfisk;SV
863;Ostron, vägda med skal;SV
864;Snigel;SV
865;Bläckfisk;SV
866;Hummer;SV
870;Regnbågslaxfilé, gravad;SV
871;Laxfilé;SV
900;Kaffe, kaffedryck, medelvärde;SV
901;Te;SV
902;Öl, mellanöl, 4,5 vol-% alkohol;SV
903;Öl, a-öl, 5- 5,5 vol-% alkohol;SV
904;Vin, medelvärde, 8-15 vol-% alkohol;SV
905;Starkvin, sött, bitter, sherry, vermouth, madeira, fruktvin;SV
906;Starksprit, vodka, gin;SV
907;Konjak/rom/whiskey, 40 vol-% alkohol;SV
908;Likör, 20-30 vol-% alkohol;SV
909;Gin long drink, 5,5 vol-% alkohol;SV
910;Läskedryck;SV
911;Cider söt, <3 vol-% alkohol;SV
912;Mjöd;SV
913;Öl, i-öl, <2,8 vol-% alkohol;SV
914;Svagdricka;SV
915;Mineralvatten;SV
917;Te, citrontepulver, otillredd, snabbte, sötat med socker;SV
920;Läskedryck, sockerfri, light;SV
921;Mineralvatten, låg natriumhalt;SV
922;Vatten, kranvatten;SV
923;Te, örtte;SV
924;Rödvin;SV
925;Vitt vin, torrt;SV
926;Vitt vin, sött;SV
928;Läskedryck, coladryck, medelvärde;SV
929;Vinäger, vinättika;SV
930;Kaffe, filterkaffe;SV
931;Kaffe, pannkaffe;SV
932;Kaffe, cappuccino, osötad, helmjölk;SV
933;Starkspritsättika;SV
934;Honungs-äppelvinäger;SV
936;Svagt vin, 4-5 vol-% alkohol;SV
937;Tee, grönt te;SV
938;Läskedryck, delvis syntetiskt sötad;SV
939;Cider, söt, 4,7 vol-% alkohol;SV
940;Öl, starkt, 7,5- 8 vol-% alkohol;SV
941;Läskedryck, coladryck light, delvis syntetiskt sötad;SV
942;Gräddlikör, 15-17 vol-% alkohol;SV
946;Stärkelsesirap, glukossirap;SV
1554;Ostsnacks;SV
5007;Smörgåspickels;SV
11001;Ljus rotsak, medelvärde;SV
11002;Mörkgröna bladgrönsaker, medelvärde;SV
11004;Rom, medelvärde;SV
11005;Fyrkornsflingor;SV
11007;Nypon;SV
11012;Jordgubbssylt, hemlagad, socker 54 g/100 g;SV
11013;Apelsinmarmelad;SV
11014;Palmolja;SV
11030;Mjöl, rågsiktmjöl;SV
