FOODID;SPECDIET
209;SOYAFREE
209;UNSWEET
300;GLUTFREE
300;MILKFREE
300;LACOVEGE
300;CHOLFREE
300;LACSFREE
300;FATFREE
300;LACVEGE
300;VEGAN
300;EGGFREE
300;NAGLUFRE
300;SOYAFREE
300;UNSWEET
300;SALTFREE
300;LOWPROT
302;GLUTFREE
302;MILKFREE
302;LACOVEGE
302;CHOLFREE
302;LACSFREE
302;LACVEGE
302;VEGAN
302;EGGFREE
302;NAGLUFRE
302;SALTFREE
302;SOYAFREE
302;UNSWEET
302;LOWPROT
303;GLUTFREE
303;MILKFREE
303;LACOVEGE
303;CHOLFREE
303;LACSFREE
303;LACVEGE
303;VEGAN
303;EGGFREE
303;NAGLUFRE
303;SALTFREE
303;SOYAFREE
303;UNSWEET
303;LOWPROT
304;GLUTFREE
304;MILKFREE
304;LACOVEGE
304;CHOLFREE
304;LACSFREE
304;LACVEGE
304;VEGAN
304;EGGFREE
304;NAGLUFRE
304;SALTFREE
304;SOYAFREE
304;UNSWEET
304;LOWPROT
307;GLUTFREE
307;MILKFREE
307;LACOVEGE
307;CHOLFREE
307;LACSFREE
307;FATFREE
307;LACVEGE
307;VEGAN
307;EGGFREE
307;LOWPROT
307;NAGLUFRE
307;SALTFREE
307;SOYAFREE
307;UNSWEET
308;GLUTFREE
308;MILKFREE
308;LACOVEGE
308;CHOLFREE
308;LACSFREE
308;LACVEGE
308;VEGAN
308;EGGFREE
308;LOWPROT
308;NAGLUFRE
308;SALTFREE
308;SOYAFREE
308;UNSWEET
309;GLUTFREE
309;MILKFREE
309;LACOVEGE
309;CHOLFREE
309;LACSFREE
309;LACVEGE
309;VEGAN
309;EGGFREE
309;LOWPROT
309;NAGLUFRE
309;SALTFREE
309;SOYAFREE
309;UNSWEET
310;GLUTFREE
310;MILKFREE
310;LACOVEGE
310;CHOLFREE
310;LACSFREE
310;LACVEGE
310;VEGAN
310;EGGFREE
310;LOWPROT
310;NAGLUFRE
310;SALTFREE
310;SOYAFREE
