FOODID;FOODNAME;LANG
11135;Bambunverso;FI
11136;Kerma, vispikerma, kevyt, rasvaa 25 %;FI
11142;Mehujää keskiarvo;FI
11145;Maito, rasvaton, vl, d-vitamiinia 1 ug;FI
11146;Juusto, leipäjuusto, rasvaa 17-23 %, vl;FI
11148;Jäätelö, kermajäätelöpuikko, suklainen, keskiarvo;FI
11149;Jäätelö, mehujää-jäätelöpuikko, keskiarvo;FI
11150;Broileri, marinoitu, ilman nahkaa, raaka;FI
11152;Kermaviili, rasvaa 10-12 %, vl;FI
11154;Viili, maustamaton, kevytviili, rasvaa 2 %, vl;FI
11155;Raejuusto, rasvaa 2-5 %, vl;FI
11156;Rahka, maitorahka, maustamaton, rasvaa <0,5 %, vl;FI
11157;Juusto, rasvaa 28 %, sisältää kasvirasvaa;FI
11159;Creme fraiche, ranskankerma, rasvaa 15-18 %;FI
11164;Jälkiruokakastike, vanilliinikastike, vispautuva vaniljakastike;FI
11165;Piimä, rasvaton, vl, d-vit 1ug;FI
11172;Jäätelö, kasvirasvajäätelöpuikko, suklaakuorrute;FI
11173;Jäätelö, kasvirasvajäätelötuutti;FI
11177;Mustapippuri;FI
11178;Valkopippuri;FI
11182;Paprikajauhe;FI
11188;Vanilliinisokeri;FI
11191;Oregano, kuivattu;FI
11194;Timjami;FI
11196;Aromisuola/yrttisuola suolapitoisuus 71 %;FI
11197;Maustekastike, ruskea, hp-kastike;FI
11198;Rypälesokeri, glukoosi;FI
11203;Hunajameloni, kuorittu;FI
11210;Ksylitolipastilli, c-vitaminoitu;FI
11211;Juusto, fetajuusto, rasvaa 25 %, vuohenmaito, suolaliemessä;FI
11212;Auringonkukansiemen;FI
11287;Kasvirasvalevite 28%, mini lätta;FI
11503;Täysmehu, rypäletäysmehu;FI
11505;Banaanilastu, kuivattu banaani;FI
11507;Riisitärkkelys;FI
11512;Siankyljys;FI
11513;Porsaanfilee, sisäfilee, rasvaa 4,5 %;FI
11521;Riisi pitkäjyväinen, puuroutumaton;FI
11522;Ruis-riisiseos, riisi ja ruisrouhe;FI
11550;Tuorejuusto, rasvaa 30 %, maustettu, vl;FI
11551;Kalkkunan rintafilee;FI
11553;Hedelmähillo, keskiarvo;FI
11557;Täysmehu, sitruunatäysmehu, laimentamaton;FI
11558;Täysmehu, appelsiinitäysmehu, kalsiumia;FI
11562;Jauheliha, naudan, rasvaa 17 %;FI
11563;Broileri, koipi-reisi, nahkoineen, raaka;FI
11564;Broileri, rintaleike, nahkoineen;FI
11565;Broileri, rintafilee, nahaton, suikale, leike;FI
11571;Tuorejuusto, rasvaa 11 %, maustamaton;FI
11572;Maito, rasvaton, lisätty kalsiumia, d-vitamiinia 0,5 ug;FI
11580;Pähkinävälipala, makea, patukka/levy;FI
11587;Marjajuoma, ruusunmarja, pro viva, kauraa ja probiootteja;FI
11589;Piparjuuri;FI
11680;Peruna, kuorittu, suurtaloustuote, suojakaasupakattu;FI
11685;Paistoöljy, palmuöljy 50%, palmuydinöljy 25%, rypsiöljy 25%;FI
11687;Riisijuoma, maustamaton;FI
11689;Parsa, raaka, puhdistettu;FI
11690;Majoneesi, vähärasvainen, rasvaa 15 %;FI
11691;Mäti, keskiarvo, suolattu;FI
11695;Rypsiöljy, kylmäpuristettu;FI
11700;Soijaproteiini konsentraatti, 58 % proteiinia;FI
11701;Palmuydinöljy;FI
11723;Jogurtti, maustettu, rasvaa 3 %;FI
11726;Viili, maustettu, rasvaa 1 %, vl;FI
11727;Jogurtti, maustettu, rasvaa 2,5 %;FI
11734;Siitakesieni;FI
11735;Osterivinokas;FI
11736;Jogurtti, maustamaton, rasvaa 1,5 %;FI
11739;Kasvirasvalevite 35%, becel pro-activ;FI
28905;Jauho, vehnäjauho, durum;FI
28909;Makaroni, ruismakaroni;FI
28910;Riisi tumma;FI
28913;Peruna, punnittu kuorineen;FI
28915;Meloni, verkko/cantaloupemeloni, punnittu kuorineen;FI
28916;Omena, keskiarvo, punnittu kuorineen;FI
28917;Päärynä, punnittu kuorineen;FI
28918;Luumu, tumma, punnittu kivineen;FI
28919;Luumu, tumma, kuivattu, punnittu kivineen;FI
28920;Kirsikka, punnittu kivineen;FI
28921;Aprikoosi, keskiarvo, punnittu kivineen;FI
28922;Persikka/nektariini, keskiarvo, punnittu kivineen;FI
28923;Ananas, tuore, punnittu kuorineen;FI
28924;Appelsiini, punnittu kuorineen;FI
28925;Sitruuna, keskiarvo, punnittu kuorineen;FI
28926;Greippi, keskiarvo, punnittu kuorineen;FI
28927;Makkara, kasvismakkara, soijapitoinen;FI
28928;Viininlehti, säilötty suolaliemeen;FI
28929;Jauheliha, lampaan, rasvaa 14 %;FI
28930;Jauheliha, broilerin;FI
28931;Vesimeloni, punnittu kuorineen;FI
28932;Viinirypäle, keskiarvo, punnittu kivineen, vihreä/tumma;FI
28933;Avokado, punnittu kuorineen ja kivineen;FI
28934;Banaani, punnittu kuorineen;FI
28935;Mandariini, keskiarvo, punnittu kuorineen;FI
28936;Viikuna, kuivattu, punnittu kuorineen;FI
28937;Taateli, kuivattu, punnittu kivineen;FI
28938;Oliivi, keskiarvo, kivetön, öljyssä, vihreä/musta;FI
28939;Kiivi, punnittu kuorineen;FI
28941;Omena, kotimainen, keskiarvo, kuorineen;FI
28942;Omena, ulkomainen, keskiarvo, kuorineen;FI
28944;Hunajameloni, punnittu kuorineen;FI
28945;Jauheliha, kalkkunan, rasvaa 5-6 %;FI
28946;Jauheliha, sian, rasvaa 16 %;FI
28947;Pekoni, filee, rasvaa 18 %;FI
28962;Maissintähkä, kokonainen;FI
28991;Kahvi, cafe au lait, makeuttamaton, täysmaito;FI
28992;Maito, täysmaito, keitetty;FI
28993;Kahvi, caffe latte, makeuttamaton, täysmaito;FI
29008;Kasvisliemikuutio;FI
29009;Kanaliemikuutio, sisältää vehnää;FI
29010;Kalaliemikuutio;FI
29014;Kookosmaito, kookosjuoma;FI
29055;Nuudeli, riisinuudeli;FI
29060;Juusto, salaattijuusto, rasvaa 12-15 %, lehmänmaito, suolaliemessä;FI
29064;Maito, kevytmaito, laktoositon maitojuoma, d-vitamiinia 1 ug;FI
29065;Ruoanvalmistuskerma, rasvaa 15 %;FI
29066;Kerma, kuohukerma, rasvaa 35 %;FI
